AgentType, Agent, DistanceTravelled, BurgleCnt, CaughtCnt, Jurisdiction
1,Agent 0,689604.8785700557,11,0,0
1,Agent 1,639024.2727999599,8,1,0
1,Agent 2,743018.763196063,1,0,0
1,Agent 3,700266.2458020387,6,1,0
1,Agent 4,732446.5219590069,4,2,0
1,Agent 5,665755.9609614805,14,3,0
1,Agent 6,669018.956934235,7,1,0
1,Agent 7,639975.8064314661,9,0,0
1,Agent 8,610454.0089608066,4,0,0
1,Agent 9,723018.8286781786,2,0,0
1,Agent 10,722596.9864119566,8,0,0
1,Agent 11,686773.5943817159,5,1,0
1,Agent 12,752547.4792457675,4,1,0
1,Agent 13,720612.7944590076,2,0,0
1,Agent 14,684065.9483809285,8,3,0
1,Agent 15,747877.6176997847,3,1,0
1,Agent 16,735132.3893172498,4,0,0
1,Agent 17,720853.0061176287,1,0,0
1,Agent 18,688852.9936441237,11,3,0
1,Agent 19,676311.153031714,8,0,0
1,Agent 20,687299.6795770569,11,1,0
1,Agent 21,637574.7880216008,14,2,0
1,Agent 22,730103.8916164306,7,1,0
1,Agent 23,664425.3943175619,9,0,0
1,Agent 24,720194.2574516389,5,0,0
1,Agent 25,701719.819069448,4,0,0
1,Agent 26,713368.5478863978,9,0,0
1,Agent 27,657087.7074403358,8,2,0
1,Agent 28,707458.0704531921,7,1,0
1,Agent 29,711951.0502004677,3,1,0
1,Agent 30,737804.2036029248,1,0,0
1,Agent 31,692123.8082814495,2,0,0
1,Agent 32,642873.0360417105,9,1,0
1,Agent 33,680953.2276558352,3,1,0
1,Agent 34,735853.5577132015,4,1,0
1,Agent 35,580857.9371914362,15,3,0
1,Agent 36,678926.5243978922,5,0,0
1,Agent 37,651377.3774164567,16,3,0
1,Agent 38,651619.8215468035,8,0,0
1,Agent 39,691787.8593744439,7,1,0
1,Agent 40,653150.0100367316,9,3,0
1,Agent 41,708590.045950644,1,0,0
1,Agent 42,721955.2632023344,3,3,0
1,Agent 43,632688.4540273069,12,2,0
1,Agent 44,714623.6534762757,10,0,0
1,Agent 45,692576.608360699,10,1,0
1,Agent 46,727266.6622841439,5,1,0
1,Agent 47,672227.9263691591,3,1,0
1,Agent 48,729563.4849349246,2,0,0
1,Agent 49,700903.8127251274,6,0,0
2,Agent 0,882165.0766470908,0,42,1
2,Agent 1,868624.5184604689,0,1,2
2,Agent 2,857338.2060400458,0,2,3
2,Agent 3,882420.746461216,0,1,1
2,Agent 4,867534.5276453635,0,3,2
2,Agent 5,857661.7276686521,0,2,3
2,Agent 6,882244.942472035,0,1,1
2,Agent 7,867454.5705416426,0,5,2
2,Agent 8,856928.9678026751,0,2,3
2,Agent 9,882602.0275400934,0,5,1
2,Agent 10,867962.9416329921,0,3,2
2,Agent 11,858133.8559414976,0,1,3
2,Agent 12,882785.5906163773,0,0,1
2,Agent 13,868823.0639756231,0,3,2
2,Agent 14,858673.505956291,0,5,3
2,Agent 15,882549.0334051035,0,1,1
2,Agent 16,868651.2769454999,0,1,2
2,Agent 17,854841.582685963,0,1,3
